,properties.name,properties.shop,geometry.coordinates,lat,lon
0,Westcenter,supermarket,"[9.3054501, 47.4066706]",9.3054501,47.4066706
1,Migros,supermarket,"[9.3920818, 47.4356824]",9.3920818,47.4356824
2,Shopping Arena,supermarket,"[9.3049269, 47.4081667]",9.3049269,47.4081667
3,,supermarket,"[9.3488813, 47.4421128]",9.3488813,47.4421128
4,SPAR,supermarket,"[9.3178144, 47.4225889]",9.3178144,47.4225889
5,Volg,supermarket,"[9.4211675, 47.4667218]",9.4211675,47.4667218
6,Coop City,supermarket,"[9.3770371, 47.426162]",9.3770371,47.426162
7,Migros Neudorf,supermarket,"[9.4052429, 47.4371841]",9.4052429,47.4371841
8,Aldi Suisse,supermarket,"[9.416663, 47.4434067]",9.416663,47.4434067
9,Denner,supermarket,"[9.4048908, 47.4370766]",9.4048908,47.4370766
10,Denner,supermarket,"[9.3536615, 47.4188513]",9.3536615,47.4188513
11,SPAR Supermarkt Wolfganghof,supermarket,"[9.3367154, 47.402848]",9.3367154,47.402848
12,Coop,supermarket,"[9.3744095, 47.4242333]",9.3744095,47.4242333
13,Landi,supermarket,"[9.3854277, 47.4596049]",9.3854277,47.4596049
14,Spar,supermarket,"[9.3853488, 47.3909729]",9.3853488,47.3909729
15,SPAR,supermarket,"[9.3879383, 47.4606376]",9.3879383,47.4606376
16,Migros,supermarket,"[9.3889006, 47.4601989]",9.3889006,47.4601989
17,Migros,supermarket,"[9.3908375, 47.3910729]",9.3908375,47.3910729
18,Denner,supermarket,"[9.3716169, 47.421646]",9.3716169,47.421646
19,Migros Grossacker,supermarket,"[9.3963374, 47.4313942]",9.3963374,47.4313942
20,Migros,supermarket,"[9.3162485, 47.4172408]",9.3162485,47.4172408
21,,supermarket,"[9.3818507, 47.4166196]",9.3818507,47.4166196
22,Neumarkt 4,supermarket,"[9.3711404, 47.4205051]",9.3711404,47.4205051
23,Migros,supermarket,"[9.3780973, 47.4252288]",9.3780973,47.4252288
24,Migros Bruggen,supermarket,"[9.3351484, 47.4100137]",9.3351484,47.4100137
25,Denner,supermarket,"[9.3356097, 47.4101208]",9.3356097,47.4101208
26,Denner,supermarket,"[9.3865985, 47.4354964]",9.3865985,47.4354964
27,Migros,supermarket,"[9.3862985, 47.435286]",9.3862985,47.435286
28,Migros,supermarket,"[9.3705595, 47.422221]",9.3705595,47.422221
29,Spisergass Drogerie + Reformhaus,supermarket,"[9.3785995, 47.4244441]",9.3785995,47.4244441
30,OTTO'S,supermarket,"[9.3394828, 47.4117103]",9.3394828,47.4117103
31,Migros Lachen,supermarket,"[9.3540033, 47.4203635]",9.3540033,47.4203635
32,Aldi,supermarket,"[9.3698656, 47.4219231]",9.3698656,47.4219231
33,Denner,supermarket,"[9.3947481, 47.4307763]",9.3947481,47.4307763
34,Denner,supermarket,"[9.3888845, 47.4602935]",9.3888845,47.4602935
